,Date,Temperature,Average humidity (%,Average dewpoint (°F,Average barometer (in,Average windspeed (mph,Average gustspeed (mph,Average direction (°deg,Rainfall for month (in,Rainfall for year (in,Maximum rain per minute,Maximum temperature (°F,Minimum temperature (°F,Maximum humidity (%,Minimum humidity (%,Maximum pressure,Minimum pressure,Maximum windspeed (mph,Maximum gust speed (mph,Maximum heat index (°F,Month,diff_pressure
0,2022-01-01,37.8,35.0,12.7,29.7,26.4,36.8,274.0,0.0,0.0,0.0,40.0,40.0,4.0,27.0,29.762,29.596,41.4,59.0,40.0,1,0.1660000000000003
1,2022-02-01,43.2,32.0,14.7,29.5,12.8,18.0,240.0,0.0,0.0,0.0,52.0,52.0,4.0,16.0,29.669,29.268,35.7,51.0,52.0,1,0.4009999999999998
2,2022-03-01,25.7,60.0,12.7,29.7,8.3,12.2,290.0,0.0,0.0,0.0,41.0,41.0,8.0,35.0,30.232,29.26,25.3,38.0,41.0,1,0.9719999999999978
3,2022-04-01,9.3,67.0,0.1,30.4,2.9,4.5,47.0,0.0,0.0,0.0,19.0,19.0,7.0,35.0,30.566,30.227,12.7,20.0,32.0,1,0.3389999999999986
4,2022-05-01,23.5,30.0,-5.3,29.9,16.7,23.1,265.0,0.0,0.0,0.0,30.0,30.0,5.0,13.0,30.233,29.568,38.0,53.0,32.0,1,0.6649999999999991
5,2022-06-01,24.8,42.0,4.6,29.8,16.0,23.9,276.0,0.0,0.0,0.0,29.0,29.0,5.0,27.0,29.879,29.637,29.9,48.0,32.0,1,0.2420000000000008
6,2022-07-01,34.2,60.0,21.6,29.7,20.4,30.0,276.0,0.0,0.0,0.0,39.0,39.0,8.0,46.0,29.86,29.602,38.0,54.0,39.0,1,0.2579999999999991
7,2022-08-01,42.1,41.0,20.0,29.8,17.5,25.2,265.0,0.0,0.0,0.0,51.0,51.0,5.0,28.0,29.883,29.627,35.7,49.0,51.0,1,0.2560000000000002
8,2022-09-01,30.3,46.0,11.4,30.0,6.9,10.6,292.0,0.0,0.0,0.0,41.0,41.0,8.0,27.0,30.446,29.575,24.2,36.0,41.0,1,0.8710000000000022
9,2022-10-01,26.2,38.0,3.6,30.4,18.2,24.6,258.0,0.0,0.0,0.0,31.0,31.0,4.0,29.0,30.489,30.291,31.1,46.0,32.0,1,0.1980000000000004
10,2022-11-01,30.1,41.0,9.0,30.3,17.0,24.6,270.0,0.0,0.0,0.0,36.0,36.0,5.0,29.0,30.421,30.112,31.1,44.0,36.0,1,0.309000000000001
11,2022-12-01,23.4,60.0,11.0,30.3,7.4,11.0,351.0,0.03,0.03,0.0,31.0,31.0,8.0,41.0,30.524,30.012,25.3,33.0,32.0,1,0.5120000000000005
12,2022-01-13,32.4,47.0,14.6,30.2,16.3,22.6,254.0,0.03,0.03,0.0,38.0,38.0,5.0,34.0,30.34,30.046,32.2,47.0,38.0,1,0.2940000000000005
13,2022-01-14,33.1,45.0,14.2,30.2,9.9,14.0,259.0,0.03,0.03,0.0,39.0,39.0,5.0,34.0,30.271,30.115,29.9,32.0,39.0,1,0.1560000000000023
14,2022-01-15,35.7,42.0,14.5,30.3,7.9,11.8,270.0,0.03,0.03,0.0,43.0,43.0,5.0,28.0,30.405,30.201,19.6,26.0,43.0,1,0.2040000000000006
15,2022-01-16,41.6,28.0,9.7,30.3,11.9,16.7,269.0,0.03,0.03,0.0,53.0,53.0,4.0,14.0,30.432,30.127,26.5,37.0,53.0,1,0.3049999999999997
16,2022-01-17,40.9,21.0,3.1,30.3,6.7,9.7,276.0,0.03,0.03,0.0,54.0,54.0,2.0,11.0,30.435,30.093,21.9,26.0,54.0,1,0.3419999999999987
17,2022-01-18,43.4,15.0,-1.7,30.3,9.6,14.7,288.0,0.03,0.03,0.0,52.0,52.0,2.0,8.0,30.425,30.19,24.2,36.0,52.0,1,0.2349999999999994
18,2022-01-19,46.6,19.0,3.6,30.3,7.0,10.5,293.0,0.03,0.03,0.0,57.0,57.0,3.0,7.0,30.333,30.154,20.7,28.0,57.0,1,0.1789999999999985
19,2022-01-20,40.0,27.0,-1.0,30.4,4.8,7.4,285.0,0.03,0.03,0.0,61.0,61.0,6.0,4.0,30.607,30.016,18.4,26.0,61.0,1,0.5910000000000011
20,2022-01-21,48.2,11.0,-4.6,30.0,12.4,16.8,257.0,0.03,0.03,0.0,55.0,55.0,1.0,6.0,30.143,29.871,25.3,35.0,55.0,1,0.272000000000002
21,2022-01-22,44.8,40.0,20.8,29.9,11.8,16.3,264.0,0.03,0.03,0.0,52.0,52.0,6.0,17.0,29.911,29.784,31.1,44.0,52.0,1,0.1270000000000024
22,2022-01-23,24.8,81.0,19.6,30.2,3.7,5.3,52.0,0.03,0.03,0.0,38.0,38.0,8.0,63.0,30.473,29.855,12.7,16.0,38.0,1,0.6179999999999986
23,2022-01-24,35.4,68.0,25.0,30.0,8.2,10.8,281.0,0.09,0.09,0.0,47.0,47.0,9.0,40.0,30.436,29.689,26.5,35.0,47.0,1,0.7469999999999999
24,2022-01-25,21.0,77.0,14.5,29.9,4.3,6.1,35.0,0.2,0.2,0.0,39.0,39.0,9.0,45.0,30.138,29.652,23.0,26.0,39.0,1,0.4860000000000006
25,2022-01-26,2.8,73.0,-4.0,30.3,3.9,5.6,51.0,0.2,0.2,0.0,11.0,11.0,7.0,65.0,30.535,29.879,15.0,20.0,32.0,1,0.6559999999999988
26,2022-01-27,7.9,51.0,-8.1,30.4,12.7,17.7,263.0,0.2,0.2,0.0,19.0,19.0,7.0,25.0,30.619,30.131,34.5,47.0,32.0,1,0.4879999999999995
